time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0.193000,-0.512934,-0.504082,0.852390,0.999924,0.004776,-0.011320,0.001026,
0.194000,-0.512929,-0.504081,0.852323,0.999924,0.004776,-0.011320,0.001026,
0.195000,-0.512924,-0.504079,0.852257,0.999924,0.004776,-0.011320,0.001026,
0.197000,-0.512919,-0.504077,0.852191,0.999924,0.004776,-0.011320,0.001026,
0.197000,-0.512913,-0.504076,0.852116,0.999924,0.004776,-0.011320,0.001026,
0.198000,-0.512907,-0.504074,0.852042,0.999924,0.004776,-0.011320,0.001026,
0.199000,-0.512901,-0.504072,0.851967,0.999924,0.004776,-0.011320,0.001026,
0.200000,-0.512896,-0.504070,0.851893,0.999924,0.004776,-0.011320,0.001026,
0.201000,-0.512890,-0.504068,0.851819,0.999924,0.004776,-0.011320,0.001026,
0.202000,-0.512884,-0.504067,0.851746,0.999924,0.004776,-0.011320,0.001026,
0.203000,-0.512879,-0.504065,0.851673,0.999924,0.004776,-0.011320,0.001026,
0.205000,-0.512873,-0.504063,0.851601,0.999924,0.004776,-0.011320,0.001026,
0.205000,-0.512868,-0.504061,0.851528,0.999924,0.004776,-0.011320,0.001026,
0.206000,-0.512862,-0.504060,0.851457,0.999924,0.004776,-0.011320,0.001026,
0.207000,-0.512856,-0.504058,0.851375,0.999924,0.004776,-0.011320,0.001026,
0.208000,-0.512850,-0.504056,0.851294,0.999924,0.004776,-0.011320,0.001026,
0.209000,-0.512843,-0.504054,0.851213,0.999924,0.004776,-0.011320,0.001026,
0.210000,-0.512837,-0.504052,0.851132,0.999924,0.004776,-0.011320,0.001026,
0.211000,-0.512831,-0.504050,0.851052,0.999924,0.004776,-0.011320,0.001026,
0.212000,-0.512825,-0.504048,0.850972,0.999924,0.004776,-0.011320,0.001026,
0.213000,-0.512819,-0.504046,0.850893,0.999924,0.004776,-0.011320,0.001026,
0.214000,-0.512813,-0.504044,0.850814,0.999924,0.004776,-0.011320,0.001026,
0.215000,-0.512807,-0.504042,0.850736,0.999924,0.004776,-0.011320,0.001026,
0.216000,-0.512801,-0.504040,0.850658,0.999924,0.004776,-0.011320,0.001026,
0.217000,-0.512794,-0.504038,0.850569,0.999924,0.004776,-0.011320,0.001026,
0.218000,-0.512787,-0.504036,0.850481,0.999924,0.004776,-0.011320,0.001026,
0.219000,-0.512781,-0.504034,0.850394,0.999924,0.004776,-0.011320,0.001026,
0.220000,-0.512774,-0.504032,0.850307,0.999924,0.004776,-0.011320,0.001026,
0.220000,-0.512767,-0.504030,0.850220,0.999924,0.004776,-0.011320,0.001026,
0.222000,-0.512761,-0.504028,0.850134,0.999924,0.004776,-0.011320,0.001026,
0.223000,-0.512754,-0.504025,0.850048,0.999924,0.004776,-0.011320,0.001026,
0.224000,-0.512747,-0.504023,0.849963,0.999924,0.004776,-0.011320,0.001026,
0.225000,-0.512741,-0.504021,0.849878,0.999924,0.004776,-0.011320,0.001026,
0.226000,-0.512734,-0.504019,0.849793,0.999924,0.004776,-0.011320,0.001026,
0.227000,-0.512727,-0.504017,0.849698,0.999924,0.004776,-0.011320,0.001026,
0.229000,-0.512720,-0.504015,0.849603,0.999924,0.004776,-0.011320,0.001026,
0.230000,-0.512713,-0.504012,0.849509,0.999924,0.004776,-0.011320,0.001026,
0.230000,-0.512705,-0.504010,0.849415,0.999924,0.004776,-0.011320,0.001026,
0.231000,-0.512698,-0.504008,0.849321,0.999924,0.004776,-0.011320,0.001026,
0.232000,-0.512691,-0.504006,0.849228,0.999924,0.004776,-0.011320,0.001026,
0.234000,-0.512684,-0.504003,0.849136,0.999924,0.004776,-0.011320,0.001026,
0.234000,-0.512677,-0.504001,0.849044,0.999924,0.004776,-0.011320,0.001026,
0.235000,-0.512670,-0.503999,0.848952,0.999924,0.004776,-0.011320,0.001026,
0.236000,-0.512663,-0.503997,0.848861,0.999924,0.004776,-0.011320,0.001026,
0.238000,-0.512656,-0.503994,0.848770,0.999924,0.004776,-0.011320,0.001026,
0.238000,-0.512648,-0.503992,0.848669,0.999924,0.004776,-0.011320,0.001026,
0.238000,-0.512640,-0.503990,0.848567,0.999924,0.004776,-0.011320,0.001026,
0.240000,-0.512632,-0.503987,0.848466,0.999924,0.004776,-0.011320,0.001026,
0.242000,-0.512625,-0.503985,0.848366,0.999924,0.004776,-0.011320,0.001026,
0.243000,-0.512617,-0.503982,0.848266,0.999924,0.004776,-0.011320,0.001026,
0.244000,-0.512609,-0.503980,0.848167,0.999924,0.004776,-0.011320,0.001026,
0.244000,-0.512602,-0.503977,0.848068,0.999924,0.004776,-0.011320,0.001026,
0.246000,-0.512594,-0.503975,0.847969,0.999924,0.004776,-0.011320,0.001026,
0.247000,-0.512587,-0.503973,0.847871,0.999924,0.004776,-0.011320,0.001026,
0.247000,-0.512578,-0.503970,0.847762,0.999924,0.004776,-0.011320,0.001026,
0.248000,-0.512570,-0.503967,0.847653,0.999924,0.004776,-0.011320,0.001026,
0.249000,-0.512562,-0.503965,0.847544,0.999924,0.004776,-0.011320,0.001026,
0.250000,-0.512553,-0.503962,0.847436,0.999924,0.004776,-0.011320,0.001026,
0.251000,-0.512545,-0.503960,0.847329,0.999924,0.004776,-0.011320,0.001026,
0.253000,-0.512537,-0.503957,0.847222,0.999924,0.004776,-0.011320,0.001026,
0.253000,-0.512529,-0.503954,0.847115,0.999924,0.004776,-0.011320,0.001026,
0.254000,-0.512521,-0.503952,0.847010,0.999924,0.004776,-0.011320,0.001026,
0.255000,-0.512513,-0.503949,0.846904,0.999924,0.004776,-0.011320,0.001026,
0.256000,-0.512504,-0.503947,0.846799,0.999924,0.004776,-0.011320,0.001026,
0.257000,-0.512495,-0.503944,0.846682,0.999924,0.004776,-0.011320,0.001026,
0.258000,-0.512487,-0.503941,0.846566,0.999924,0.004776,-0.011320,0.001026,
0.259000,-0.512478,-0.503938,0.846450,0.999924,0.004776,-0.011320,0.001026,
0.260000,-0.512469,-0.503935,0.846335,0.999924,0.004776,-0.011320,0.001026,
0.261000,-0.512460,-0.503933,0.846220,0.999924,0.004776,-0.011320,0.001026,
0.262000,-0.512451,-0.503930,0.846106,0.999924,0.004776,-0.011320,0.001026,
0.263000,-0.512443,-0.503927,0.845993,0.999924,0.004776,-0.011320,0.001026,
0.265000,-0.512434,-0.503924,0.845880,0.999924,0.004776,-0.011320,0.001026,
0.265000,-0.512425,-0.503922,0.845767,0.999924,0.004776,-0.011320,0.001026,
0.266000,-0.512417,-0.503919,0.845656,0.999924,0.004776,-0.011320,0.001026,
0.267000,-0.512407,-0.503916,0.845531,0.999924,0.004776,-0.011320,0.001026,
0.268000,-0.512398,-0.503913,0.845407,0.999924,0.004776,-0.011320,0.001026,
0.268000,-0.512388,-0.503910,0.845284,0.999924,0.004776,-0.011320,0.001026,
0.271000,-0.512379,-0.503907,0.845161,0.999924,0.004776,-0.011320,0.001026,
0.271000,-0.512369,-0.503904,0.845039,0.999924,0.004776,-0.011320,0.001026,
0.273000,-0.512360,-0.503901,0.844918,0.999924,0.004776,-0.011320,0.001026,
0.273000,-0.512351,-0.503898,0.844797,0.999924,0.004776,-0.011320,0.001026,
0.273000,-0.512341,-0.503895,0.844677,0.999924,0.004776,-0.011320,0.001026,
0.275000,-0.512332,-0.503892,0.844558,0.999924,0.004776,-0.011320,0.001026,
0.276000,-0.512323,-0.503889,0.844439,0.999924,0.004776,-0.011320,0.001026,
0.277000,-0.512313,-0.503886,0.844307,0.999924,0.004776,-0.011320,0.001026,
0.278000,-0.512303,-0.503883,0.844175,0.999924,0.004776,-0.011320,0.001026,
0.279000,-0.512293,-0.503880,0.844044,0.999924,0.004776,-0.011320,0.001026,
0.281000,-0.512283,-0.503877,0.843914,0.999924,0.004776,-0.011320,0.001026,
0.281000,-0.512273,-0.503874,0.843785,0.999924,0.004776,-0.011320,0.001026,
0.283000,-0.512263,-0.503870,0.843656,0.999924,0.004776,-0.011320,0.001026,
0.283000,-0.512253,-0.503867,0.843528,0.999924,0.004776,-0.011320,0.001026,
0.285000,-0.512243,-0.503864,0.843400,0.999924,0.004776,-0.011320,0.001026,
0.285000,-0.512234,-0.503861,0.843273,0.999924,0.004776,-0.011320,0.001026,
0.285000,-0.512224,-0.503858,0.843147,0.999924,0.004776,-0.011320,0.001026,
0.287000,-0.512214,-0.503855,0.843021,0.999924,0.004776,-0.011320,0.001026,
0.289000,-0.512204,-0.503852,0.842882,0.999924,0.004776,-0.011320,0.001026,
0.290000,-0.512193,-0.503848,0.842744,0.999924,0.004776,-0.011320,0.001026,
0.291000,-0.512182,-0.503845,0.842606,0.999924,0.004776,-0.011320,0.001026,
0.292000,-0.512172,-0.503842,0.842469,0.999924,0.004776,-0.011320,0.001026,
0.293000,-0.512161,-0.503838,0.842332,0.999924,0.004776,-0.011320,0.001026,
0.293000,-0.512151,-0.503835,0.842197,0.999924,0.004776,-0.011320,0.001026,
0.295000,-0.512141,-0.503832,0.842062,0.999924,0.004776,-0.011320,0.001026,
0.296000,-0.512130,-0.503829,0.841927,0.999924,0.004776,-0.011320,0.001026,
0.296000,-0.512120,-0.503825,0.841793,0.999924,0.004776,-0.011320,0.001026,
0.297000,-0.512110,-0.503822,0.841660,0.999924,0.004776,-0.011320,0.001026,
0.298000,-0.512098,-0.503819,0.841513,0.999924,0.004776,-0.011320,0.001026,
0.299000,-0.512087,-0.503815,0.841367,0.999924,0.004776,-0.011320,0.001026,
0.300000,-0.512076,-0.503811,0.841221,0.999924,0.004776,-0.011320,0.001026,
0.301000,-0.512065,-0.503808,0.841076,0.999924,0.004776,-0.011320,0.001026,
0.302000,-0.512054,-0.503804,0.840932,0.999924,0.004776,-0.011320,0.001026,
0.303000,-0.512043,-0.503801,0.840789,0.999924,0.004776,-0.011320,0.001026,
0.304000,-0.512032,-0.503798,0.840646,0.999924,0.004776,-0.011320,0.001026,
0.305000,-0.512021,-0.503794,0.840504,0.999924,0.004776,-0.011320,0.001026,
0.306000,-0.512010,-0.503791,0.840363,0.999924,0.004776,-0.011320,0.001026,
0.307000,-0.511998,-0.503787,0.840207,0.999924,0.004776,-0.011320,0.001026,
0.309000,-0.511986,-0.503783,0.840052,0.999924,0.004776,-0.011320,0.001026,
0.309000,-0.511974,-0.503779,0.839897,0.999924,0.004776,-0.011320,0.001026,
0.310000,-0.511963,-0.503776,0.839744,0.999924,0.004776,-0.011320,0.001026,
0.311000,-0.511951,-0.503772,0.839591,0.999924,0.004776,-0.011320,0.001026,
0.312000,-0.511939,-0.503768,0.839439,0.999924,0.004776,-0.011320,0.001026,
0.313000,-0.511928,-0.503765,0.839288,0.999924,0.004776,-0.011320,0.001026,
0.314000,-0.511916,-0.503761,0.839138,0.999924,0.004776,-0.011320,0.001026,
0.315000,-0.511904,-0.503757,0.838988,0.999924,0.004776,-0.011320,0.001026,
0.316000,-0.511893,-0.503754,0.838839,0.999924,0.004776,-0.011320,0.001026,
